n,x,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,0.99
 1, 0,0.9000,0.8000,0.7000,0.6000,0.5000,0.4000,0.3000,0.2000,0.1000,0.0500,0.0100
 2, 0,0.8100,0.6400,0.4900,0.3600,0.2500,0.1600,0.0900,0.0400,0.0100,0.0025,0.0001
, 1,0.9900,0.9600,0.9100,0.8400,0.7500,0.6400,0.5100,0.3600,0.1900,0.0975,0.0199
 3, 0,0.7290,0.5120,0.3430,0.2160,0.1250,0.0640,0.0270,0.0080,0.0010,0.0001,0.0000
, 1,0.9720,0.8960,0.7840,0.6480,0.5000,0.3520,0.2160,0.1040,0.0280,0.0073,0.0003
, 2,0.9990,0.9920,0.9730,0.9360,0.8750,0.7840,0.6570,0.4880,0.2710,0.1426,0.0297
 4, 0,0.6561,0.4096,0.2401,0.1296,0.0625,0.0256,0.0081,0.0016,0.0001,0.0000,0.0000
, 1,0.9477,0.8192,0.6517,0.4752,0.3125,0.1792,0.0837,0.0272,0.0037,0.0005,0.0000
, 2,0.9963,0.9728,0.9163,0.8208,0.6875,0.5248,0.3483,0.1808,0.0523,0.0140,0.0006
, 3,0.9999,0.9984,0.9919,0.9744,0.9375,0.8704,0.7599,0.5904,0.3439,0.1855,0.0394
 5, 0,0.5905,0.3277,0.1681,0.0778,0.0313,0.0102,0.0024,0.0003,0.0000,0.0000,0.0000
, 1,0.9185,0.7373,0.5282,0.3370,0.1875,0.0870,0.0308,0.0067,0.0005,0.0000,0.0000
, 2,0.9914,0.9421,0.8369,0.6826,0.5000,0.3174,0.1631,0.0579,0.0086,0.0012,0.0000
, 3,0.9995,0.9933,0.9692,0.9130,0.8125,0.6630,0.4718,0.2627,0.0815,0.0226,0.0010
, 4,1.0000,0.9997,0.9976,0.9898,0.6988,0.9222,0.8319,0.6723,0.4095,0.2262,0.0490
 6, 0,0.5314,0.2621,0.1176,0.0467,0.0156,0.0041,0.0007,0.0001,0.0000,0.0000,0.0000
, 1,0.8857,0.6554,0.4202,0.2333,0.1094,0.0410,0.0109,0.0016,0.0001,0.0000,0.0000
, 2,0.9842,0.9011,0.7443,0.5443,0.3438,0.1792,0.0705,0.0170,0.0013,0.0001,0.0000
, 3,0.9987,0.9830,0.9295,0.8208,0.6563,0.4557,0.2557,0.0989,0.0159,0.0022,0.0000
, 4,0.9999,0.9984,0.9891,0.9590,0.9806,0.7667,0.5798,0.3446,0.1143,0.0328,0.0015
, 5,1.0000,0.9999,0.9993,0.9959,0.9844,0.9533,0.8824,0.7379,0.4686,0.2649,0.0585
 7, 0,0.4783,0.2097,0.0824,0.0280,0.0078,0.0016,0.0002,0.0000,0.0000,0.0000,0.0000
, 1,0.8503,0.5767,0.3294,0.1586,0.0625,0.0188,0.0038,0.0004,0.0000,0.0000,0.0000
, 2,0.9743,0.8520,0.6471,0.4199,0.2266,0.0963,0.0288,0.0047,0.0002,0.0000,0.0000
, 3,0.9973,0.9667,0.8740,0.7102,0.5000,0.2898,0.1260,0.0333,0.0027,0.0002,0.0000
, 4,0.9998,0.9953,0.9712,0.9037,0.7734,0.5801,0.3529,0.1480,0.0257,0.0038,0.0000
, 5,1.0000,0.9996,0.9962,0.9812,0.9375,0.8414,0.6706,0.4233,0.1497,0.0444,0.0020
, 6,1.0000,1.0000,0.9998,0.9984,0.9922,0.9720,0.9176,0.7903,0.5217,0.3017,0.0679
 8, 0,0.4305,0.1678,0.0576,0.0168,0.0039,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000
, 1,0.8131,0.5033,0.2553,0.1064,0.0352,0.0085,0.0013,0.0001,0.0000,0.0000,0.0000
, 2,0.9619,0.7969,0.5518,0.3154,0.1445,0.0498,0.0113,0.0012,0.0000,0.0000,0.0000
, 3,0.9950,0.9437,0.8059,0.5941,0.3633,0.1737,0.0580,0.0104,0.0004,0.0000,0.0000
, 4,0.9996,0.9896,0.9420,0.8263,0.6367,0.4059,0.1941,0.0563,0.0050,0.0004,0.0000
, 5,1.0000,0.9988,0.9887,0.9502,0.8555,0.6846,0.4482,0.2031,0.0381,0.0058,0.0001
, 6,1.0000,0.9999,0.9987,0.9915,0.9648,0.8936,0.7447,0.4967,0.1869,0.0572,0.0027
, 7,1.0000,1.0000,0.9999,0.9993,0.9961,0.9832,0.9424,0.8322,0.5695,0.3366,0.0773
 9, 0,0.3874,0.1342,0.0404,0.0101,0.0020,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
, 1,0.7748,0.4362,0.1960,0.0705,0.0195,0.0038,0.0004,0.0000,0.0000,0.0000,0.0000
